,Country,Happiness score,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year,Country Url,Region,Region code,Happiness status,Overall Rank,Rank per region,Capital City,Longitude,Latitude
374,Kazakhstan,5.818999767,1.28455627,1.384369016,0.606041551,0.43745428299999994,0.11928288599999999,0.201964423,1.784892559,2017,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,ASIA,142.0,Green,60.0,14.0,Astana,71.4382,51.1879
375,North Cyprus,5.809999942999999,1.346911311,1.186303377,0.834647238,0.471203625,0.155353352,0.266845703,1.549157619,2017,,,,Green,61.0,2.0,,,
376,Slovenia,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.04512897900000001,0.242649093,1.3133172990000002,2017,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,EUROPE,150.0,Green,62.0,26.0,Ljubljana,14.5044,46.0546
377,Peru,5.715000152999999,1.0352252720000001,1.218770385,0.6301661129999999,0.45000287899999997,0.047049087,0.126819715,2.20726943,2017,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,AMERICAS,19.0,Green,63.0,17.0,Lima,-77.0465,-12.0931
378,Mauritius,5.629000187000001,1.189395547,1.20956099,0.638007462,0.49124732600000004,0.042181555,0.360933751,1.697583914,2017,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,AFRICA,2.0,Green,64.0,2.0,Port Louis,57.4977,-20.1605
379,Cyprus,5.620999812999999,1.3559380769999998,1.131363273,0.8447147009999999,0.355111539,0.041237976,0.27125430100000003,1.621249199,2017,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,ASIA,142.0,Green,65.0,15.0,Nicosia,33.3736,35.1676
380,Estonia,5.611000061,1.32087934,1.4766711000000001,0.695168316,0.47913143,0.18324892199999998,0.098890811,1.357508659,2017,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,EUROPE,150.0,Green,66.0,27.0,Tallinn,24.7586,59.4392
381,Belarus,5.568999767,1.15655756,1.444945216,0.637714267,0.29540026199999997,0.156313822,0.155137509,1.723232985,2017,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,EUROPE,150.0,Amber,67.0,28.0,Minsk,27.5766,53.9678
382,Libya,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.09261021,0.152073666,1.8350112440000002,2017,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,AFRICA,2.0,Amber,68.0,3.0,Tripoli,13.1072,32.8578
383,Turkey,5.5,1.1982743740000001,1.337753177,0.637605608,0.30074059999999997,0.09967158,0.046693042000000004,1.879277945,2017,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,ASIA,142.0,Amber,69.0,16.0,Ankara,32.3606,39.7153
384,Paraguay,5.493000031,0.932537317,1.50728488,0.579250693,0.47350779200000004,0.09106591300000001,0.224150658,1.68533349,2017,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,AMERICAS,19.0,Amber,70.0,18.0,Asuncion,-57.6362,-25.3005
385,"Hong Kong S.A.R., China",5.472000122000001,1.551674843,1.2627909179999999,0.943062425,0.490968645,0.29393374899999997,0.374465793,0.554633141,2017,,,,Amber,71.0,3.0,,,
386,Philippines,5.429999828,0.857699215,1.253917575,0.468009055,0.5852146739999999,0.099331893,0.19351342300000002,1.9726047519999999,2017,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,ASIA,142.0,Amber,72.0,17.0,Manila,121.035,14.5515
387,Serbia,5.394999981000001,1.069317579,1.258189797,0.650784671,0.208715528,0.040903781,0.220125884,1.9470844269999998,2017,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,EUROPE,150.0,Amber,73.0,29.0,Belgrade,20.4656,44.8024
